N,sr,lr,sigma,IP,esr,kl,accuracy
800,0.4,0.97,0.1,True,0.4000000000000001,0.12155098331381595,0.315
800,0.4,0.97,0.1,True,0.3999999999999996,0.1454340741957723,0.27
800,0.4,0.97,0.1,True,0.4000000000000008,0.09279290424764078,0.285
800,0.4,0.97,0.2,True,0.400000000000001,1.5518871795961646,0.325
800,0.4,0.97,0.2,True,0.4000000000000007,1.3532923866719744,0.29
800,0.4,0.97,0.2,True,0.40000000000000097,1.1272414541152842,0.29
800,0.4,0.97,0.2,True,0.3999999999999998,1.4763832547542144,0.31
800,0.4,0.97,0.2,True,0.4000000000000008,1.4037596700015527,0.29
800,0.4,0.97,0.2,True,0.3999999999999991,1.5677888254753005,0.28
800,0.4,0.97,0.2,True,0.40000000000000047,1.5069647380318558,0.27
800,0.4,0.97,0.2,True,0.4,1.5769980566140345,0.325
800,0.4,0.97,0.2,True,0.3999999999999997,1.379544888517585,0.29
800,0.4,0.97,0.2,True,0.39999999999999947,1.5510870855274885,0.31
800,0.4,0.97,0.2,True,0.3999999999999996,1.4997487665607976,0.31
800,0.4,0.97,0.2,True,0.4000000000000006,1.4018490034315496,0.295
800,0.4,0.97,0.2,True,0.3999999999999998,1.517007033261505,0.29
800,0.4,0.97,0.2,True,0.4000000000000019,1.5969675677489064,0.28
800,0.4,0.97,0.2,True,0.40000000000000246,1.521559078318727,0.285
800,0.4,0.97,0.2,True,0.3999999999999996,1.401268507018338,0.315
800,0.4,0.97,0.2,True,0.39999999999999997,1.5121580966550088,0.29
800,0.4,0.97,0.2,True,0.3999999999999999,1.4596040136856314,0.305
800,0.4,0.97,0.2,True,0.40000000000000047,1.3637938289164004,0.31
800,0.4,0.97,0.2,True,0.4000000000000011,1.3526240414854178,0.295
800,0.4,0.97,0.2,True,0.3999999999999987,1.4726436298043921,0.265
800,0.4,0.97,0.2,True,0.4000000000000009,1.4304238775906684,0.275
800,0.4,0.97,0.2,True,0.40000000000000047,1.4774438191600212,0.275
800,0.4,0.97,0.2,True,0.3999999999999997,1.3981436337089836,0.33
